NU_ID;NU_NR;HH021;HH071_1;HH071_2;HH071_3;HH071_4;ADR_KEITE
20345800.0;203458.0;1.0;2.0;;;;NE
30158700.0;301587.0;2.0;1.0;170.0;;12.0;NE
10293000.0;102930.0;5.0;2.0;;;;NE
20255000.0;202550.0;1.0;2.0;;;;NE
10068700.0;100687.0;1.0;2.0;;;;NE
20260900.0;202609.0;1.0;2.0;;;;NE
30213800.0;302138.0;1.0;2.0;;;;NE
10059000.0;100590.0;1.0;2.0;;;;NE
20334900.0;203349.0;1.0;2.0;;;;NE
10259700.0;102597.0;1.0;2.0;;;;NE
20229000.0;202290.0;1.0;2.0;;;;NE
20241700.0;202417.0;1.0;2.0;;;;NE
20108900.0;201089.0;1.0;2.0;;;;NE
10018900.0;100189.0;1.0;2.0;;;;NE
10322100.0;103221.0;1.0;2.0;;;;NE
20038000.0;200380.0;2.0;1.0;;9.0;12.0;NE
20311400.0;203114.0;1.0;2.0;;;;NE
10342100.0;103421.0;2.0;1.0;60.0;;12.0;NE
40281400.0;402814.0;1.0;2.0;;;;NE
30028600.0;300286.0;2.0;1.0;400.0;;12.0;NE
10072000.0;100720.0;1.0;2.0;;;;NE
10166500.0;101665.0;4.0;2.0;;;;NE
20165200.0;201652.0;1.0;2.0;;;;NE
10025000.0;100250.0;1.0;2.0;;;;NE
20091700.0;200917.0;1.0;2.0;;;;NE
40342400.0;403424.0;5.0;2.0;;;;NE
40013600.0;400136.0;1.0;2.0;;;;NE
10094400.0;100944.0;1.0;2.0;;;;NE
20135500.0;201355.0;2.0;1.0;;8.0;12.0;NE
20082000.0;200820.0;1.0;2.0;;;;NE
40302500.0;403025.0;5.0;2.0;;;;NE
10090700.0;100907.0;5.0;2.0;;;;NE
40157600.0;401576.0;1.0;2.0;;;;NE
20201900.0;202019.0;1.0;2.0;;;;NE
40157100.0;401571.0;1.0;2.0;;;;NE
10318800.0;103188.0;1.0;2.0;505.0;;;NE
20219600.0;202196.0;1.0;2.0;;;;NE
30143900.0;301439.0;1.0;2.0;;;;NE
40094000.0;400940.0;1.0;2.0;;;;NE
20321600.0;203216.0;1.0;2.0;;;;NE
20011700.0;200117.0;1.0;2.0;;;;NE
20338800.0;203388.0;5.0;2.0;;;;NE
30141100.0;301411.0;3.0;2.0;;;;NE
30268400.0;302684.0;1.0;2.0;;;;NE
20023600.0;200236.0;1.0;2.0;;;;NE
10319200.0;103192.0;1.0;2.0;;;;NE
40127400.0;401274.0;1.0;2.0;;;;NE
20130900.0;201309.0;1.0;2.0;;;;NE
40071100.0;400711.0;1.0;2.0;;;;NE
20037300.0;200373.0;1.0;2.0;;;;NE
20244900.0;202449.0;1.0;2.0;;;;NE
40118000.0;401180.0;1.0;2.0;;;;NE
20068200.0;200682.0;2.0;1.0;;;12.0;NE
30187700.0;301877.0;1.0;2.0;;;;NE
40297500.0;402975.0;1.0;2.0;;;;NE
20201000.0;202010.0;5.0;2.0;;;;NE
30097400.0;300974.0;1.0;2.0;;;;NE
10274600.0;102746.0;1.0;2.0;;;;NE
40305800.0;403058.0;1.0;2.0;;;;NE
30184200.0;301842.0;1.0;2.0;;;;NE
20193900.0;201939.0;1.0;2.0;;;;NE
40003700.0;400037.0;1.0;2.0;;;;NE
10312200.0;103122.0;1.0;2.0;;;;NE
40213400.0;402134.0;1.0;2.0;;;;NE
20297300.0;202973.0;5.0;2.0;;;;NE
40028800.0;400288.0;1.0;2.0;;;;NE
10112600.0;101126.0;1.0;2.0;;;;NE
30305500.0;303055.0;1.0;2.0;;;;NE
40011100.0;400111.0;1.0;2.0;;;;NE
40262900.0;402629.0;1.0;2.0;;;;NE
20212300.0;202123.0;1.0;2.0;;;;NE
20118900.0;201189.0;1.0;2.0;;;;NE
20148200.0;201482.0;1.0;2.0;;;;NE
20102800.0;201028.0;2.0;1.0;;10.0;12.0;NE
10042700.0;100427.0;1.0;2.0;;;;NE
40229800.0;402298.0;1.0;2.0;;;;NE
40165500.0;401655.0;1.0;2.0;;;;NE
40143600.0;401436.0;1.0;2.0;;;;NE
10158900.0;101589.0;1.0;2.0;;;;NE
20114000.0;201140.0;1.0;2.0;;;;NE
20188000.0;201880.0;1.0;2.0;;;;NE
10281500.0;102815.0;5.0;2.0;;;;NE
